Year,Chlorophyll,DissAmmonia,DissNitrateNitrite,DissOrthophos,DissSilica,DON,Salinity,Secchi,Temperature,TKN,TotPhos
1975,11.44590909090909,NA,0.3035928143712575,0.0746808510638298,14.329787234042554,0.27640449438202247,1.1566706139129261,40.627027027027026,16.54255319148936,0.4268817204301075,0.13422459893048128
1976,16.521565656565656,NA,0.4800510204081633,0.10303030303030303,14.148484848484848,0.25266272189349115,3.6696713869086075,53.07106598984772,17.651515151515152,0.4967741935483871,0.21258883248730964
1977,20.09765,NA,0.64475,0.1034,13.78894472361809,0.2595505617977528,5.765693192368036,58.33838383838384,18.21,0.5380710659898478,0.18815
1978,10.065396825396826,NA,0.4544736842105263,0.09825,13.584736842105263,0.35139664804469273,1.9967274487352893,36.106951871657756,18.01578947368421,0.5778947368421052,0.19874015748031496
1979,10.092921348314606,0.08112903225806452,0.41381443298969073,0.09008474576271187,14.249230769230769,0.31315789473684214,2.3543057190630066,42.0531914893617,17.682051282051283,0.5743589743589743,0.17135593220338982
1980,8.7635,0.06574257425742575,0.3111442786069652,0.07418803418803419,11.957142857142857,0.2193069306930693,3.3185747152242837,48.25824175824176,17.147783251231527,0.458128078817734,0.14623931623931624
1981,8.17308510638298,0.10279620853080569,0.45804761904761904,0.10475524475524475,13.270422535211267,0.2619047619047619,4.755749281217311,59.30051813471503,18.39622641509434,0.52095238095238094,0.17727272727272728
1982,8.300489130434782,0.07856410256410257,0.3239593908629442,0.07257575757575757,12.399489795918367,0.20721649484536084,2.115531483480733,46.359550561797754,16.776649746192895,0.43232323232323233,0.14492424242424243
1983,4.750546875,0.06576923076923077,0.2943846153846154,0.05508196721311476,12.88,0.19767441860465118,1.2530466586743014,45.51282051282051,16.015384615384615,0.41384615384615386,0.11778688524590164
1984,8.105426829268293,0.07833333333333334,0.3935757575757576,0.07575757575757576,12.60066225165563,0.2263803680981595,3.6981496717579376,56.92413793103448,17.75151515151515,0.43636363636363634,0.1340909090909091
1985,7.610252525252525,0.11663316582914574,0.5062121212121212,0.10142857142857144,12.669849246231156,0.24646464646464647,4.342624967082316,72.74585635359117,17.41,0.5291457286432161,0.15881889763779528
1986,8.08159509202454,0.08846625766871166,0.41583333333333333,0.08181159420289855,11.55,0.2642857142857143,3.2966989483360343,49.111111111111114,17.352941176470587,0.5211764705882352,0.155
1987,5.235322580645161,0.12815533980582525,0.5761032863849765,0.09761194029850746,13.047317073170731,0.34407582938388626,5.6645152757048916,64.22222222222223,18.450704225352112,0.6108490566037736,0.17233082706766917
1988,5.194855769230769,0.11058252427184466,0.5645370370370371,0.12192857142857143,14.538785046728972,0.26851851851851855,5.952438783162611,59.774358974358975,18.13953488372093,0.5106481481481482,0.18621428571428572
1989,5.539585492227979,0.1128804347826087,0.4893877551020408,0.10734375,14.037948717948717,0.3064705882352941,4.684375075153082,64.22727272727273,17.95408163265306,0.5403061224489796,0.17390625
1990,5.529368421052632,0.11494047619047619,0.5237628865979381,0.11444444444444445,13.958461538461538,0.2767045454545455,5.876267128093014,70.72571428571429,18.297435897435896,0.5456410256410257,0.1826771653543307
1991,8.611009615384615,0.1647,0.6038755980861245,0.13458015267175572,12.993269230769231,0.3368686868686869,5.884885458351359,67.01578947368421,17.447619047619046,0.6666666666666666,0.20038167938931298
1992,11.04153488372093,0.12877659574468084,0.5240639269406393,0.12303030303030303,12.27351598173516,0.3300925925925926,5.964361903523226,72.3,19.054545454545455,0.6146118721461187,0.17706766917293235
1993,5.818702290076336,0.12856060606060607,0.5442446043165468,0.09114503816793894,13.43916083916084,0.3152671755725191,3.4643473156661857,62.00769230769231,17.447552447552447,0.6272727272727273,0.16560606060606062
1994,4.954468085106383,0.1468831168831169,0.6301875,0.094375,13.51125,0.27151898734177216,5.477967360630531,80.97972972972973,17.32515337423313,0.5521739130434783,0.1458267716535433
1995,2.7083333333333335,0.10196850393700788,0.4216793893129771,0.07446153846153847,14.098473282442749,0.30869565217391304,2.0217724547854408,53.042735042735046,16.358778625954198,0.4916030534351145,0.13763358778625953
1996,2.9103937007874014,0.1135114503816794,0.5002290076335878,0.07625954198473282,14.184732824427481,0.24732824427480918,2.9975130531507106,57.73504273504273,17.062595419847327,0.5099236641221374,0.1350381679389313
1997,3.9598387096774195,0.12116279069767442,0.5715384615384616,0.07438461538461538,13.496124031007753,0.24923076923076923,3.870786942002212,60.07627118644068,17.774615384615384,0.5238461538461539,0.13330769230769232
1998,3.8202727272727275,0.08890756302521008,0.4546564885496183,0.06553846153846155,14.64609375,0.2278688524590164,2.271864431930255,48.09322033898305,16.171832061068702,0.49612403100775193,0.1296153846153846
1999,4.19872,0.12850393700787402,0.5446875,0.060078125,14.823728813559322,0.2142857142857143,3.8005033070786385,58.89565217391304,15.512265625,0.494488188976378,0.11834645669291338
2000,5.112230769230769,0.117890625,0.5047727272727273,0.07212121212121213,14.303030303030303,0.27795275590551183,3.9514425652461096,63.1271186440678,16.76213740458015,0.5704545454545454,0.1265909090909091
2001,6.639847328244275,0.17346153846153847,0.6827272727272727,0.0843939393939394,14.103053435114504,0.3522727272727273,5.304664043757687,65.195,16.95401515151515,0.7007575757575758,0.14234848484848486
2002,6.836717557251909,0.16548387096774195,0.6299236641221374,0.08457364341085272,14.081679389312978,0.2903225806451613,4.798903185988457,68.64406779661017,17.003435114503816,0.5854961832061069,0.14885496183206107
2003,5.55304347826087,0.152109375,0.5696350364963504,0.07683823529411765,14.418115942028985,0.3970802919708029,3.9124607742874806,81.0650406504065,17.022971014492754,0.5367647058823529,0.12144927536231884
2004,5.196715328467153,0.1734090909090909,0.6357971014492754,0.07920289855072464,13.789130434782608,0.3466165413533835,4.258788442165049,70.84297520661157,16.980289855072463,0.5978102189781022,0.12405797101449276
2005,4.0935,0.15032520325203252,0.5324285714285715,0.073,13.736428571428572,0.3051094890510949,3.668253331201897,77.25,16.55607142857143,0.5235714285714286,0.12678571428571428
2006,3.674166666666667,0.08706349206349207,0.3896969696969697,0.05098484848484849,12.798484848484849,0.20967741935483872,3.271614191714898,65.425,16.73530303030303,0.3946153846153846,0.08893939393939394
2007,5.9751515151515155,0.11408,0.6815151515151515,0.06442748091603054,12.870229007633588,0.27983870967741936,5.209915417618093,83.6890756302521,16.433333333333334,0.471969696969697,0.10378787878787879
2008,6.703939393939394,0.11404761904761905,0.7597727272727273,0.07696969696969697,13.757575757575758,0.34471544715447155,5.385316655605606,82.4,17.206818181818182,0.5356060606060606,0.11856060606060606
2009,6.385909090909091,0.10170731707317074,0.5717424242424243,0.06659090909090909,13.223664122137405,0.30330578512396694,5.349300081531445,97.08403361344538,16.87727272727273,0.5007692307692307,0.10037878787878787
2010,3.434242424242424,0.09260162601626017,0.5256060606060606,0.06310606060606061,13.302290076335877,0.2916666666666667,4.430444863042541,97.41666666666667,16.347954545454545,0.48409090909090907,0.10212121212121213
2011,3.354772727272727,0.06899224806201551,0.3203030303030303,0.04833333333333333,12.825,0.20833333333333334,3.527602972839449,96.48333333333333,15.712727272727273,0.37575757575757573,0.08416666666666667
2012,5.531755725190839,0.10232558139534884,0.5798484848484848,0.07090909090909091,13.586363636363636,0.23969465648854962,4.8156245398511,107.9,17.167651515151515,0.49242424242424243,0.11992424242424242
2013,6.8750757575757575,0.1066923076923077,0.5881679389312977,0.08462121212121212,13.44621212121212,0.23858267716535433,5.6593734901382655,105.30833333333334,16.698863636363637,0.578030303030303,0.12121212121212122
2014,3.50412213740458,0.12309523809523809,0.6615909090909091,0.09901515151515151,13.931060606060607,0.3630769230769231,6.14843382491401,117.77685950413223,17.81590909090909,0.6431818181818182,0.14325757575757575
2015,3.9590151515151515,0.10322834645669292,0.5854198473282443,0.09515151515151515,12.218939393939394,0.37846153846153846,6.812791147481385,101.14406779661017,18.186969696969697,0.6409090909090909,0.14242424242424243
2016,6.1045454545454545,0.10976744186046512,0.4452671755725191,0.07840909090909091,12.778030303030302,0.3446969696969697,5.32750791133336,103.07692307692308,17.087954545454547,0.6265151515151515,0.1340909090909091
2017,3.530992366412214,0.09098484848484849,0.5204545454545455,0.07810606060606061,13.488636363636363,0.23853211009174313,3.1977776340822697,85.96296296296296,16.106893939393938,0.3560606060606061,0.09318181818181819
2018,4.399609375,0.12163492063492064,0.5278702290076336,0.09331818181818181,12.368636363636364,0.23858490566037738,5.277796571045026,116.03703703703704,16.59371212121212,0.41425,0.10750757575757576
2019,2.489140625,0.1431891891891892,0.48093859649122805,0.08494736842105263,13.165454545454546,0.23734939759036144,3.335719488497776,99.96296296296296,16.33621212121212,0.3512777777777778,0.09177165354330709
2020,3.1135353535353536,0.18421153846153845,0.5406060606060606,0.09126530612244899,12.71578431372549,0.2053968253968254,5.795320556546535,124.97560975609755,17.593333333333334,0.37027,0.10852525252525252
